id,target
202409@6099659558,0.0012877697042004577
202405@599766044,0.0006129545021370573
202412@5125674890,0.004890468866809054
202401@2453995549,0.0037091975067644915
202401@1166976276,0.0012877697042004577
202402@1599610375,0.0006129545021370573
202409@5163265245,0.0012877697042004577
202410@1600166597,0.0012877697042004577
202407@1099607587,0.03236224489814588
202407@4601983439,0.0006129545021370573
202412@7099782538,0.0006129545021370573
202409@2141332219,0.0037091975067644915
202406@186764233,0.0026449130827350237
202411@6550292393,0.0006129545021370573
202404@1599748330,0.0006129545021370573
202407@4680078229,0.0006129545021370573
202412@5099655841,0.0012877697042004577
202408@4099717380,0.0006129545021370573
202411@3614282089,0.0006129545021370573
202407@7599725182,0.0006129545021370573
202409@9599754109,0.0023838521729682848
202404@8180706817,0.0006129545021370573
202401@6037833795,0.0054794915763914835
202411@1420373607,0.0997879685958438
202412@3099501883,0.0006129545021370573
202402@3608570910,0.0012877697042004577
202406@6685544178,0.0006129545021370573
202405@4099770670,0.0023838521729682848
202410@6129729737,0.0006129545021370573
202411@3195561933,0.0006129545021370573
202410@8099734813,0.0006129545021370573
202410@3780279613,0.02101473899279406
202411@8986680399,0.004890468866809054
202408@1099517179,0.0037091975067644915
202412@6099526465,0.0006129545021370573
202405@1650417165,0.3729431162128847
202405@2246175457,0.0006129545021370573
202408@8653982743,0.03236224489814588
202410@9099595906,0.0006129545021370573
202407@7599625754,0.0012877697042004577
202404@8657354154,0.0012877697042004577
202403@5681217767,0.0006129545021370573
202403@5892525693,0.0006129545021370573
202412@3648413599,0.0006129545021370573
202410@8081863725,0.03236224489814588
202411@4135551128,0.0037091975067644915
202410@6133134797,0.004890468866809054
202409@5433391301,0.0006129545021370573
202410@8133058119,0.011450599089901242
202411@1599533540,0.0006129545021370573
202404@1599770736,0.0023838521729682848
202412@2099615463,0.0012877697042004577
202405@3099764222,0.0006129545021370573
202407@7099591285,0.0006129545021370573
202408@2100655441,0.0026449130827350237
202409@3599765181,0.0006129545021370573
202411@2561965678,0.02101473899279406
202402@4957214811,0.0006129545021370573
202407@8105761777,0.0006129545021370573
202406@2916337152,0.0026449130827350237
202408@183376653,0.0006129545021370573
202409@5760290362,0.0006129545021370573
202411@4327577993,0.0042555262533478895
202412@6152946778,0.06642114922174754
202404@6599690798,0.0006129545021370573
202408@9599719283,0.0012877697042004577
202404@1147052081,0.0012877697042004577
202409@5683486670,0.0012877697042004577
202408@8162272018,0.024750327359003246
202411@99662253,0.0006129545021370573
202406@6099516400,0.05539906742686357
202406@6599501644,0.0012877697042004577
202402@8099640478,0.004890468866809054
202411@142271757,0.0006129545021370573
202401@3275889293,0.004890468866809054
202410@5163016940,0.0037091975067644915
202411@2562812223,0.0023838521729682848
202409@8599515520,0.0037091975067644915
202410@8099722032,0.0006129545021370573
202408@9099723451,0.0006129545021370573
202408@2166003754,0.0012877697042004577
202410@8599518482,0.0006129545021370573
202409@7553352583,0.0012877697042004577
202412@9606121782,0.004890468866809054
202410@9678106466,0.0023838521729682848
202404@3599616354,0.004890468866809054
202406@2467750433,0.004890468866809054
202407@9124336044,0.004890468866809054
202405@4175119030,0.0012877697042004577
202412@3099722438,0.0006129545021370573
202404@8599513278,0.0006129545021370573
202407@2687935293,0.0026449130827350237
202404@2660743871,0.0012877697042004577
202404@4197305659,0.0006129545021370573
202405@2599772388,0.0006129545021370573
202403@1599466778,0.0012877697042004577
202408@6106654581,0.0011353223674981743
202405@4104906610,0.0006129545021370573
202406@5897627248,0.004890468866809054
202402@2599755149,0.0006129545021370573
202411@3808192949,0.0006129545021370573
202405@7257554994,0.02101473899279406
202402@1282243691,0.0006129545021370573
202410@7697119221,0.0012877697042004577
202403@2101419229,0.06642114922174754
202401@9599542329,0.0006129545021370573
202402@5599640693,0.03236224489814588
202408@9599542440,0.0006129545021370573
202404@9135781708,0.0012877697042004577
202401@8099520567,0.0006129545021370573
202404@5599689447,0.0006129545021370573
202412@4655636954,0.0006129545021370573
202403@99532192,0.0006129545021370573
202408@2193719114,0.004890468866809054
202401@3654078058,0.0023838521729682848
202411@2164461823,0.09936107550144951
202402@5099605669,0.0023838521729682848
202402@1477117729,0.0006129545021370573
202409@1481715399,0.0006129545021370573
202404@1987041991,0.0006129545021370573
202404@99565044,0.0006129545021370573
202405@2603561778,0.06642114922174754
202408@9465886671,0.0023838521729682848
202405@7099561687,0.0006129545021370573
202401@4599487790,0.0006129545021370573
202411@2177116685,0.0006129545021370573
202405@9655383105,0.0006129545021370573
202408@3647782361,0.26775135693289526
202402@4641651213,0.0012877697042004577
202405@1592355958,0.0023838521729682848
202405@4599616500,0.0006129545021370573
202408@1099631956,0.0023838521729682848
202411@6128512473,0.0006129545021370573
202402@6599779051,0.0012598266910332629
202408@1599696655,0.03236224489814588
202411@1197394073,0.004890468866809054
202403@2599776300,0.012189198312469176
202406@5113019419,0.007598797692332461
202404@8582705917,0.0006129545021370573
202410@6366456603,0.0023838521729682848
202404@7877330093,0.0006129545021370573
202403@6599653276,0.0012877697042004577
202408@1099474243,0.02101473899279406
202408@5599630151,0.0006129545021370573
202406@1099697856,0.0006129545021370573
202401@183742069,0.0997879685958438
202405@6099503115,0.0006129545021370573
202405@5599543041,0.0012598266910332629
202412@142973333,0.0006129545021370573
202412@8665794752,0.0006129545021370573
202408@5099526721,0.0012877697042004577
202401@1765028975,0.0006129545021370573
202410@7599550475,0.0011353223674981743
202402@108178331,0.0006129545021370573
202412@2052491623,0.0023838521729682848
202401@8599615808,0.004890468866809054
202405@6943903703,0.02101473899279406
202410@1599772108,0.0006129545021370573
202409@3599494407,0.0037091975067644915
202401@1100746809,0.01602765694090379
202409@124806120,0.0012877697042004577
202405@2230048814,0.0006129545021370573
202406@3446272013,0.02101473899279406
202411@6099751040,0.3729431162128847
202402@164473613,0.011450599089901242
202412@9599537414,0.0012877697042004577
202404@8599596125,0.0012598266910332629
202408@4016577863,0.0012877697042004577
202403@8599739042,0.0006129545021370573
202406@6099577267,0.0012877697042004577
202411@9099692134,0.0006129545021370573
202409@7921146431,0.0006129545021370573
202403@4099527957,0.0023838521729682848
202406@4072273153,0.0054794915763914835
202402@8998594354,0.0037091975067644915
